Date,Open,High,Low,Close,Volume,RSI,ATR,EMA_slow,EMA_fast,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TechnicalSignal,LSTMsignal,TotalSignal,pointpos
2024-04-04 21:00:00+02:00,515.89,515.89,514.85,515.08,24711.17,22.44916023265561,1.0417220880265643,520.99935383689,519.7944886934379,515.122212359575,518.522,521.9217876404251,1.311337856609777,-0.006208087686567216,0,0,2,0,509.7015
2024-04-04 21:05:00+02:00,515.09,516.06,515.09,515.81,17123.32,30.158358437203603,1.0329046468798986,520.8965943549714,519.5374249067645,514.9166792849906,518.0866666666667,521.2566540483429,1.2237286097600726,0.1409028818494927,1,0,0,0,0.0
2024-04-04 21:10:00+02:00,515.8,515.8,515.06,515.47,11097.88,28.682795524488174,0.9924896973256274,520.7891370410116,519.2750103966507,514.739736335422,517.6606666666667,520.5815969979113,1.1285115981684306,0.12500532052520136,1,0,1,1,520.958
2024-04-04 21:15:00+02:00,515.46,515.49,514.52,514.74,14708.43,25.68482055854615,0.9892768834219703,520.6693521491104,518.9824290807378,514.5461065752603,517.2066666666667,519.8672267580731,1.0288189471931566,0.03643845996299561,1,0,1,1,520.6449
2024-04-04 21:20:00+02:00,514.73,515.37,514.67,514.76,11739.48,25.9205256929931,0.9479516143616953,520.5523352748706,518.7100143013354,514.3800450823871,516.82,519.259954917613,0.9442184581142016,0.07786105285596266,1,0,2,0,509.52329999999995
2024-04-04 21:25:00+02:00,514.75,515.01,513.66,513.69,17189.35,21.80871698904925,1.0053870980243134,520.4164474476455,518.3861424109267,514.024463835438,516.4113333333333,518.7982028312287,0.9244063186950342,-0.07006328492883891,1,0,0,0,0.0
2024-04-04 21:30:00+02:00,513.71,514.22,513.55,513.97,15886.31,25.25615355815662,0.9574746554494219,520.2887950229397,518.1012299973186,513.7755140895813,516.0713333333333,518.3671525770853,0.8897294212887964,0.04235653807415805,1,0,0,0,0.0
2024-04-04 21:35:00+02:00,513.99,514.01,513.19,513.23,18241.44,22.36106644702065,0.9378354189566382,520.1490169036736,517.7869570942657,513.5886409386765,515.6486666666666,517.7086923946567,0.7990036089133573,-0.0870476843574066,1,0,0,0,0.0
2024-04-04 21:40:00+02:00,513.24,513.5,512.75,513.35,17955.85,23.932161705490927,0.9110017876771186,520.014382905581,517.5007017978616,513.3423181616348,515.338,517.3336818383651,0.774513751504899,0.0019246149906109737,1,0,0,0,0.0
2024-04-04 21:45:00+02:00,513.35,514.03,513.27,513.98,20695.07,31.963397370333432,0.8894301037232432,519.8948901747774,517.2735597463867,513.1720041166092,515.1693333333334,517.1666625500576,0.7754068759492195,0.2022690792847928,1,0,0,0,0.0
