datetime,score
2016-01-08 15:45:00,0.4084
2016-01-08 16:00:00,0.4019
2016-01-08 16:15:00,0.0
2016-01-08 16:30:00,0.6369
2016-01-08 16:45:00,-0.5473
2016-01-08 17:00:00,-0.5106
2016-01-08 17:15:00,-0.6124
2016-01-08 17:30:00,0.0
2016-01-08 17:45:00,0.0
2016-01-08 18:00:00,0.0
2016-01-08 18:15:00,-0.5859
2016-01-08 18:30:00,0.0
2016-01-08 18:45:00,-0.4404
2016-01-08 19:00:00,0.0
2016-01-08 19:15:00,0.0
2016-01-08 19:30:00,0.0
2016-01-08 19:45:00,0.6369
2016-01-08 20:00:00,0.0
2016-01-08 20:15:00,0.6476
2016-01-08 20:30:00,0.0
2016-01-08 20:45:00,0.0
2016-01-08 21:00:00,-0.7579
2016-01-08 21:15:00,0.0
2016-01-08 21:30:00,0.0
2016-01-08 21:45:00,0.0
2016-01-11 15:30:00,0.5106
2016-01-11 15:45:00,0.0
2016-01-11 16:00:00,0.6369
2016-01-11 16:15:00,0.0
2016-01-11 16:30:00,0.25
2016-01-11 16:45:00,0.0
2016-01-11 17:00:00,-0.8248
2016-01-11 17:15:00,0.0
2016-01-11 17:30:00,0.0
2016-01-11 17:45:00,0.6124
2016-01-11 18:00:00,0.0
2016-01-11 18:15:00,-0.6124
2016-01-11 18:30:00,0.0
2016-01-11 18:45:00,-0.6996
2016-01-11 19:00:00,0.0
2016-01-11 19:15:00,-0.3291
2016-01-11 19:30:00,0.0
2016-01-11 19:45:00,-0.481
2016-01-11 20:00:00,0.0
2016-01-11 20:15:00,0.6124
2016-01-11 20:30:00,0.25
2016-01-11 20:45:00,-0.296
2016-01-11 21:00:00,0.0
2016-01-11 21:15:00,-0.0516
2016-01-11 21:30:00,0.0
2016-01-11 21:45:00,0.0
2016-01-12 15:30:00,0.6369
2016-01-12 15:45:00,0.0
2016-01-12 16:00:00,-0.1531
2016-01-12 16:15:00,0.0
2016-01-12 16:30:00,0.0
2016-01-12 16:45:00,0.3612
2016-01-12 17:00:00,0.0
2016-01-12 17:15:00,-0.0516
2016-01-12 17:30:00,0.0
2016-01-12 17:45:00,0.0
2016-01-12 18:00:00,0.0
2016-01-12 18:15:00,0.0
2016-01-12 18:30:00,-0.1779
2016-01-12 18:45:00,0.0
2016-01-12 19:00:00,0.0
2016-01-12 19:15:00,0.128
2016-01-12 19:30:00,0.0
2016-01-12 19:45:00,-0.296
2016-01-12 20:00:00,-0.7579
2016-01-12 20:15:00,0.0
2016-01-12 20:30:00,0.0
2016-01-12 20:45:00,0.9089
2016-01-12 21:00:00,-0.4588
2016-01-12 21:15:00,0.0258
2016-01-12 21:30:00,0.0
2016-01-12 21:45:00,0.0
2016-01-13 15:30:00,-0.1531
2016-01-13 15:45:00,0.0
2016-01-13 16:00:00,0.0
2016-01-13 16:15:00,0.9298
2016-01-13 16:30:00,0.0
2016-01-13 16:45:00,0.0
2016-01-13 17:00:00,0.8225
2016-01-13 17:15:00,0.5562
2016-01-13 17:30:00,0.0
2016-01-13 17:45:00,0.8668
2016-01-13 18:00:00,0.0
2016-01-13 18:15:00,-0.4767
2016-01-13 18:30:00,0.0
2016-01-13 18:45:00,0.8516
2016-01-13 19:00:00,0.0
2016-01-13 19:15:00,0.0
2016-01-13 19:30:00,0.0
2016-01-13 19:45:00,-0.5574
2016-01-13 20:00:00,0.8779
2016-01-13 20:15:00,0.3252
2016-01-13 20:30:00,0.6124
2016-01-13 20:45:00,0.0
2016-01-13 21:00:00,0.0
2016-01-13 21:15:00,0.0
2016-01-13 21:30:00,0.25
2016-01-13 21:45:00,0.0
2016-01-14 15:30:00,0.0
2016-01-14 15:45:00,0.0
2016-01-14 16:00:00,0.0
2016-01-14 16:15:00,0.1027
2016-01-14 16:30:00,0.0
2016-01-14 16:45:00,0.0
