Date,Open,High,Low,Close,Volume
2024-05-09 15:30:00+02:00,169.39,170.69,169.35,169.56,5038.67
2024-05-09 15:35:00+02:00,169.57,169.65,169.31,169.53,1511.5
2024-05-09 15:40:00+02:00,169.56,169.59,168.85,168.91,2899.61
2024-05-09 15:45:00+02:00,168.92,168.93,168.63,168.75,3327.34
2024-05-09 15:50:00+02:00,168.75,169.06,168.66,168.82,2120.36
2024-05-09 15:55:00+02:00,168.84,168.95,168.65,168.81,1812.54
2024-05-09 16:00:00+02:00,168.81,168.93,168.58,168.72,1907.83
2024-05-09 16:05:00+02:00,168.71,168.79,168.4,168.52,1772.37
2024-05-09 16:10:00+02:00,168.52,168.77,168.42,168.49,1669.09
2024-05-09 16:15:00+02:00,168.49,168.54,168.18,168.24,2282.95
2024-05-09 16:20:00+02:00,168.24,168.45,168.22,168.35,1381.79
2024-05-09 16:25:00+02:00,168.33,168.54,168.31,168.43,2275.27
2024-05-09 16:30:00+02:00,168.44,168.6,168.27,168.4,1736.8
2024-05-09 16:35:00+02:00,168.4,168.85,168.4,168.8,1592.68
2024-05-09 16:40:00+02:00,168.8,168.91,168.68,168.68,1848.53
2024-05-09 16:45:00+02:00,168.7,168.77,168.55,168.75,1587.82
2024-05-09 16:50:00+02:00,168.75,169.15,168.74,169.11,2009.34
2024-05-09 16:55:00+02:00,169.13,169.14,168.86,169.03,1312.7
2024-05-09 17:00:00+02:00,169.03,169.21,169.02,169.11,1268.05
2024-05-09 17:05:00+02:00,169.12,169.21,169.1,169.11,784.85
2024-05-09 17:10:00+02:00,169.12,169.15,168.99,169.08,1440.11
2024-05-09 17:15:00+02:00,169.09,169.1,168.92,169.07,943.02
2024-05-09 17:20:00+02:00,169.08,169.15,169.04,169.08,697.49
2024-05-09 17:25:00+02:00,169.07,169.26,169.05,169.26,817.14
2024-05-09 17:30:00+02:00,169.26,169.38,169.17,169.38,845.72
2024-05-09 17:35:00+02:00,169.38,169.39,169.13,169.26,1218.78
2024-05-09 17:40:00+02:00,169.27,169.27,169.08,169.2,824.48
2024-05-09 17:45:00+02:00,169.2,169.23,169.05,169.09,689.54
2024-05-09 17:50:00+02:00,169.08,169.12,168.99,169.05,709.0
2024-05-09 17:55:00+02:00,169.05,169.05,168.89,168.98,592.71
2024-05-09 18:00:00+02:00,168.98,169.01,168.92,168.98,655.45
2024-05-09 18:05:00+02:00,168.97,169.01,168.87,168.99,631.19
2024-05-09 18:10:00+02:00,168.99,169.03,168.93,169.02,478.43
2024-05-09 18:15:00+02:00,169.03,169.07,168.94,169.0,507.52
2024-05-09 18:20:00+02:00,169.0,169.11,168.94,169.11,727.31
2024-05-09 18:25:00+02:00,169.11,169.19,169.09,169.16,776.47
2024-05-09 18:30:00+02:00,169.15,169.16,169.01,169.06,538.17
2024-05-09 18:35:00+02:00,169.06,169.35,169.06,169.28,771.9
2024-05-09 18:40:00+02:00,169.28,169.3,169.22,169.25,441.72
2024-05-09 18:45:00+02:00,169.24,169.29,169.14,169.19,685.42
2024-05-09 18:50:00+02:00,169.19,169.22,169.14,169.19,451.17
2024-05-09 18:55:00+02:00,169.18,169.26,169.16,169.24,391.82
2024-05-09 19:00:00+02:00,169.25,169.37,169.13,169.28,1122.1
2024-05-09 19:05:00+02:00,169.28,169.31,169.2,169.27,588.22
2024-05-09 19:10:00+02:00,169.27,169.41,169.23,169.36,692.18
2024-05-09 19:15:00+02:00,169.35,169.37,169.24,169.33,491.66
2024-05-09 19:20:00+02:00,169.32,169.33,169.01,169.17,1410.17
2024-05-09 19:25:00+02:00,169.17,169.3,169.15,169.29,777.67
2024-05-09 19:30:00+02:00,169.29,169.33,169.23,169.26,532.29
2024-05-09 19:35:00+02:00,169.24,169.27,169.18,169.22,695.74
2024-05-09 19:40:00+02:00,169.21,169.23,169.16,169.19,669.9
2024-05-09 19:45:00+02:00,169.2,169.24,169.01,169.08,713.66
2024-05-09 19:50:00+02:00,169.09,169.19,169.03,169.06,682.88
2024-05-09 19:55:00+02:00,169.05,169.08,169.01,169.03,537.92
2024-05-09 20:00:00+02:00,169.03,169.07,168.93,169.06,724.73
2024-05-09 20:05:00+02:00,169.07,169.15,169.06,169.12,498.46
2024-05-09 20:10:00+02:00,169.12,169.2,169.1,169.13,521.75
2024-05-09 20:15:00+02:00,169.13,169.2,169.1,169.15,639.18
2024-05-09 20:20:00+02:00,169.15,169.18,168.91,168.94,743.82
2024-05-09 20:25:00+02:00,168.94,169.17,168.94,169.14,885.34
2024-05-09 20:30:00+02:00,169.13,169.22,169.08,169.17,506.45
2024-05-09 20:35:00+02:00,169.17,169.27,169.17,169.24,554.76
2024-05-09 20:40:00+02:00,169.25,169.26,169.21,169.25,367.17
2024-05-09 20:45:00+02:00,169.25,169.35,169.25,169.31,453.51
2024-05-09 20:50:00+02:00,169.31,169.4,169.3,169.34,562.91
2024-05-09 20:55:00+02:00,169.34,169.5,169.34,169.42,652.64
2024-05-09 21:00:00+02:00,169.42,169.42,169.3,169.38,679.71
2024-05-09 21:05:00+02:00,169.39,169.48,169.37,169.44,839.13
2024-05-09 21:10:00+02:00,169.43,169.48,169.37,169.47,1025.25
2024-05-09 21:15:00+02:00,169.46,169.59,169.41,169.58,1138.78
2024-05-09 21:20:00+02:00,169.58,169.62,169.47,169.52,905.87
2024-05-09 21:25:00+02:00,169.52,169.53,169.41,169.45,933.46
2024-05-09 21:30:00+02:00,169.45,169.5,169.39,169.46,943.15
2024-05-09 21:35:00+02:00,169.46,169.62,169.44,169.53,1290.63
2024-05-09 21:40:00+02:00,169.54,169.59,169.44,169.52,1335.24
2024-05-09 21:45:00+02:00,169.51,169.61,169.46,169.53,1532.21
2024-05-09 21:50:00+02:00,169.54,169.87,169.54,169.79,3237.88
2024-05-09 21:55:00+02:00,169.78,170.0,169.62,169.96,8180.37
2024-05-10 15:30:00+02:00,167.99,168.52,167.74,167.85,9666.11
2024-05-10 15:35:00+02:00,167.88,167.93,167.15,167.52,7057.05
2024-05-10 15:40:00+02:00,167.5,168.21,167.47,168.09,5836.24
2024-05-10 15:45:00+02:00,168.09,168.21,167.86,168.13,4175.74
2024-05-10 15:50:00+02:00,168.14,168.17,167.83,168.09,2545.61
2024-05-10 15:55:00+02:00,168.07,168.16,167.97,168.14,2010.22
2024-05-10 16:00:00+02:00,168.13,168.45,167.8,168.39,4278.61
2024-05-10 16:05:00+02:00,168.42,168.69,168.41,168.51,3481.63
2024-05-10 16:10:00+02:00,168.5,168.55,168.25,168.26,1615.72
2024-05-10 16:15:00+02:00,168.26,168.54,168.1,168.14,1816.01
2024-05-10 16:20:00+02:00,168.13,168.44,168.03,168.34,1467.14
2024-05-10 16:25:00+02:00,168.34,168.38,167.95,168.09,1597.06
2024-05-10 16:30:00+02:00,168.1,168.35,167.85,168.3,2986.05
2024-05-10 16:35:00+02:00,168.3,168.31,167.78,167.87,2133.71
2024-05-10 16:40:00+02:00,167.85,168.26,167.81,168.16,1618.42
2024-05-10 16:45:00+02:00,168.15,168.15,167.89,168.0,1459.57
2024-05-10 16:50:00+02:00,168.0,168.11,167.72,167.74,1566.2
2024-05-10 16:55:00+02:00,167.72,167.9,167.54,167.75,3002.14
2024-05-10 17:00:00+02:00,167.75,167.98,167.65,167.98,1332.3
2024-05-10 17:05:00+02:00,167.98,168.0,167.82,167.98,1387.07
2024-05-10 17:10:00+02:00,167.97,168.11,167.91,167.97,1542.7
2024-05-10 17:15:00+02:00,167.99,168.08,167.96,168.02,1330.13
2024-05-10 17:20:00+02:00,168.01,168.09,167.87,167.91,1436.16
2024-05-10 17:25:00+02:00,167.92,168.21,167.91,168.21,1502.44
2024-05-10 17:30:00+02:00,168.21,168.23,167.91,167.97,1153.3
2024-05-10 17:35:00+02:00,167.98,168.0,167.62,167.63,1289.93
2024-05-10 17:40:00+02:00,167.61,167.7,167.4,167.48,1561.81
2024-05-10 17:45:00+02:00,167.48,167.69,167.36,167.69,1588.4
2024-05-10 17:50:00+02:00,167.69,167.86,167.62,167.72,1087.77
2024-05-10 17:55:00+02:00,167.72,167.82,167.72,167.78,1239.26
2024-05-10 18:00:00+02:00,167.79,167.8,167.61,167.66,1202.23
2024-05-10 18:05:00+02:00,167.66,167.77,167.52,167.72,774.6
2024-05-10 18:10:00+02:00,167.71,167.84,167.63,167.83,1171.47
2024-05-10 18:15:00+02:00,167.84,167.94,167.73,167.77,958.86
2024-05-10 18:20:00+02:00,167.77,167.79,167.68,167.78,630.13
2024-05-10 18:25:00+02:00,167.78,167.88,167.73,167.84,683.83
2024-05-10 18:30:00+02:00,167.84,167.86,167.74,167.77,716.37
2024-05-10 18:35:00+02:00,167.78,167.88,167.64,167.65,456.02
2024-05-10 18:40:00+02:00,167.64,167.69,167.47,167.48,632.17
2024-05-10 18:45:00+02:00,167.48,167.71,167.47,167.69,813.48
2024-05-10 18:50:00+02:00,167.68,167.71,167.57,167.64,482.12
2024-05-10 18:55:00+02:00,167.63,167.82,167.61,167.65,608.44
2024-05-10 19:00:00+02:00,167.65,167.67,167.43,167.45,1404.61
2024-05-10 19:05:00+02:00,167.44,167.49,167.3,167.38,1444.74
2024-05-10 19:10:00+02:00,167.35,167.45,167.34,167.41,788.68
2024-05-10 19:15:00+02:00,167.41,167.45,167.21,167.33,967.97
2024-05-10 19:20:00+02:00,167.33,167.45,167.25,167.26,1085.03
2024-05-10 19:25:00+02:00,167.25,167.26,166.93,166.99,1894.43
2024-05-10 19:30:00+02:00,167.0,167.02,166.88,166.95,1377.35
2024-05-10 19:35:00+02:00,166.95,167.0,166.68,166.76,2152.5
2024-05-10 19:40:00+02:00,166.76,166.76,166.42,166.45,2303.14
2024-05-10 19:45:00+02:00,166.45,167.09,166.19,167.06,5491.76
2024-05-10 19:50:00+02:00,167.05,168.65,167.04,168.52,22603.72
2024-05-10 19:55:00+02:00,168.52,169.85,168.22,168.88,15388.06
2024-05-10 20:00:00+02:00,168.88,169.25,168.72,169.18,4864.74
2024-05-10 20:05:00+02:00,169.19,169.35,168.84,169.14,4742.88
2024-05-10 20:10:00+02:00,169.14,169.15,168.56,168.64,3287.12
2024-05-10 20:15:00+02:00,168.64,168.85,168.5,168.56,3341.24
2024-05-10 20:20:00+02:00,168.55,168.6,168.41,168.54,3263.29
