Date,Open,High,Low,Close,Volume,RSI,ATR,EMA_slow,EMA_fast,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TechnicalSignal,LSTMsignal,TotalSignal,pointpos
2024-05-20 21:00:00+02:00,529.89,530.02,529.76,529.95,2127.39,39.67801711683094,0.2745229243281881,530.16927021809,530.3181823345107,529.7364709044126,530.0453333333334,530.3541957622541,0.11654189160703764,0.34567023307684835,2,0,0,0,0.0
2024-05-20 21:05:00+02:00,529.95,530.17,529.85,530.14,2958.9,47.96148221601538,0.2810196494241521,530.1686906098109,530.3066867000261,529.7360875034204,530.0433333333333,530.3505791632462,0.11593234386353007,0.657311600769503,2,0,0,0,0.0
2024-05-20 21:10:00+02:00,530.14,530.32,530.13,530.3,2602.89,53.88648474329959,0.2680168423635667,530.1712907957552,530.3062553000245,529.7338568202762,530.0466666666666,530.3594765130571,0.11803105879625093,0.9049318399925277,2,0,1,0,535.6232000000001
2024-05-20 21:15:00+02:00,530.29,530.41,530.19,530.21,3859.88,50.306603377941634,0.2611572934544734,530.1720573146512,530.3000452806682,529.7367175772904,530.0553333333334,530.3739490893763,0.12021980952037431,0.7427166010048658,2,0,0,0,0.0
2024-05-20 21:20:00+02:00,530.2,530.27,530.07,530.13,2537.27,47.20904858541392,0.25242053724668173,530.1712244965394,530.2890746173994,529.7812662267974,530.0793333333334,530.3774004398693,0.11246131957706795,0.5849920463473293,2,0,2,0,524.7693
2024-05-20 21:25:00+02:00,530.13,530.27,530.05,530.26,2844.78,52.49085054303402,0.24778903192573112,530.1729824273009,530.2871988356317,529.8296435359484,530.1106666666667,530.391689797385,0.10602432600926129,0.7656958040279587,2,0,0,0,0.0
2024-05-20 21:30:00+02:00,530.27,530.33,529.93,530.01,3815.17,43.245599768793035,0.26953345593635397,530.1697550525029,530.2693150397845,529.8950525754102,530.1306666666667,530.3662807579232,0.08888906304476368,0.24393155769418598,2,0,0,0,0.0
2024-05-20 21:35:00+02:00,530.02,530.19,529.86,530.13,3875.12,48.11910332427548,0.2781715336597378,530.1689678237404,530.2603269727017,529.9646748828112,530.154,530.3433251171888,0.07142268744130455,0.4366169677949568,2,0,0,0,0.0
2024-05-20 21:40:00+02:00,530.13,530.18,529.87,529.97,4071.09,42.68849124190869,0.2827184574226246,530.1650278668346,530.2415962002694,529.9387242607603,530.1393333333333,530.3399424059063,0.07568164064026006,0.07795195610694605,2,0,2,0,524.5713
2024-05-20 21:45:00+02:00,529.95,529.96,529.58,529.7,5231.67,35.232916586088955,0.2980443920765334,530.1558193942241,530.2066545099295,529.8501924450145,530.1093333333333,530.3684742216521,0.09776884579237431,-0.28978916833392604,2,2,0,0,0.0
