Open,High,Low,Close,Volume,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,VWAP_D,ATR,BubbleSignal,TotalSignal,pointpos
91.77,91.86,91.6,91.73,21904.1,91.47480930996528,91.724,91.97319069003473,91.12329630797556,0.20778053170998237,0,0,0.0
91.69,91.76,91.6,91.73,13903.4,91.53295944708125,91.73949999999999,91.94604055291873,91.1281057671921,0.20094038015297705,0,0,0.0
91.73,91.99,91.68,91.97,28276.2,91.56399246245438,91.763,91.96200753754563,91.14071740579408,0.21654841442870418,0,0,0.0
91.98,91.99,91.86,91.87,27100.3,91.56549264719139,91.7695,91.9735073528086,91.15283570821249,0.20416525377430167,0,0,0.0
91.87,91.92,91.75,91.86,15055.8,91.57127202426513,91.777,91.98272797573487,91.15885205823987,0.1992780414985458,0,0,0.0
91.85,91.88,91.65,91.78,21626.5,91.57020742200956,91.775,91.97979257799045,91.16640642244282,0.20367187219972196,0,0,0.0
91.77,91.8,91.65,91.68,15042.2,91.56437743995431,91.77250000000001,91.9806225600457,91.17104017752887,0.19599700658337274,0,0,0.0
91.69,91.71,91.61,91.67,12382.7,91.55399821003157,91.7635,91.97300178996842,91.17447061627097,0.18227172053030008,0,0,0.0
91.65,91.78,91.56,91.71,19412.9,91.55520212336837,91.753,91.95079787663163,91.17996960531104,0.18766532402380798,0,0,0.0
91.75,91.75,91.62,91.74,11315.9,91.55520212336837,91.753,91.95079787663163,91.18324570739597,0.17942237820055348,0,0,0.0
91.74,91.82,91.7,91.78,14451.6,91.55502848306661,91.7525,91.94997151693339,91.18787276159308,0.17092901367655106,0,0,0.0
91.78,91.88,91.66,91.84,17534.8,91.55496269003,91.756,91.95703730997,91.1936435360906,0.17794230655293936,0,0,0.0
91.84,91.85,91.65,91.67,11383.1,91.54638369684764,91.7485,91.95061630315237,91.19690078319096,0.1810946199646824,0,0,0.0
91.69,91.82,91.66,91.8,10346.2,91.54718005508565,91.7505,91.95381994491436,91.20003056268573,0.17808010745805725,0,0,0.0
91.77,91.8,91.68,91.73,10291.2,91.55307448283966,91.741,91.92892551716034,91.20298108860072,0.16978060030689807,0,0,0.0
91.73,91.86,91.69,91.85,17095.9,91.56747297494698,91.75250000000001,91.93752702505304,91.20838470966308,0.16981195072550478,0,0,0.0
91.83,91.88,91.78,91.86,15506.7,91.58881100770004,91.7655,91.94218899229996,91.21352782190344,0.1598367407171838,0,0,0.0
91.88,91.88,91.76,91.8,14629.0,91.61834214259996,91.776,91.93365785740004,91.21810034193416,0.15414476327884352,0,0,0.0
91.81,91.85,91.75,91.77,9742.3,91.62904373568593,91.78049999999999,91.93195626431405,91.22098910951904,0.14640861525866253,0,0,0.0
91.78,91.82,91.73,91.78,13949.3,91.62961968423876,91.78099999999999,91.93238031576122,91.22497914576864,0.13834918631496373,0,0,0.0
91.79,91.93,91.76,91.92,19464.0,91.6295683374846,91.7905,91.95143166251539,91.23137764005226,0.14287123867263146,0,0,0.0
91.92,91.95,91.87,91.93,18179.2,91.63121030746095,91.8005,91.96978969253905,91.23766857587906,0.13388876899946692,0,0,0.0
91.92,91.94,91.82,91.85,14386.8,91.64199098387319,91.7945,91.94700901612681,91.24222928077023,0.13190449551826694,0,0,0.0
91.83,92.03,91.82,92.0,31888.5,91.62665551342252,91.801,91.97534448657748,91.25336611325972,0.14306178476026257,0,0,0.0
91.99,92.11,91.86,91.96,33162.9,91.61983877954857,91.806,91.99216122045142,91.26501158434198,0.158339598230577,0,0,0.0
91.95,92.17,91.91,92.12,33150.7,91.59260034722257,91.82300000000001,92.05339965277744,91.27770948426857,0.1728632669608528,0,0,0.0
92.09,92.22,92.05,92.12,26820.8,91.59063805316053,91.845,92.09936194683947,91.28849350824699,0.1724542106164452,0,0,0.0
92.11,92.12,91.91,92.06,22215.3,91.6070140780548,91.86449999999999,92.12198592194518,91.29618411758898,0.17781809945462768,0,0,0.0
92.06,92.17,91.99,92.15,19244.7,91.61101678817037,91.8865,92.16198321182962,91.30337155365388,0.17812980972587186,0,0,0.0
92.15,92.19,91.98,92.05,19764.0,91.62634804553575,91.902,92.17765195446425,91.31034904744467,0.18268282167026287,0,0,0.0
92.05,92.07,91.94,91.99,19518.0,91.64025929767949,91.9125,92.1847407023205,91.31646622014229,0.1751565234661013,0,0,0.0
91.99,92.11,91.97,92.0,18979.3,91.64784820741473,91.92049999999999,92.19315179258525,91.32253941798722,0.1701340595421284,0,0,0.0
92.01,92.07,91.93,91.98,18685.0,91.68793549226068,91.936,92.18406450773934,91.32813954126364,0.1658291179052177,0,0,0.0
91.97,91.97,91.71,91.72,33036.9,91.67295560226101,91.932,92.19104439773899,91.33500333925777,0.1807108976474813,0,0,0.0
91.72,91.96,91.67,91.92,29138.1,91.69940291203744,91.9415,92.18359708796257,91.34152684245957,0.19632382902877082,0,0,0.0
91.9,91.92,91.78,91.84,21436.1,91.69810907797954,91.941,92.18389092202047,91.34619068896215,0.1882774782979712,0,0,0.0
91.82,91.96,91.72,91.87,29977.4,91.69923774540808,91.94149999999999,92.1837622545919,91.35261276529398,0.1956664803703222,0,0,0.0
91.88,91.96,91.72,91.93,30997.0,91.7144534307682,91.94800000000001,92.18154656923181,91.35934352088432,0.20199989204018,0,0,0.0
91.92,92.17,91.85,92.16,63735.5,91.73154449572019,91.9675,92.20345550427982,91.37759720955931,0.21885716832086066,0,0,0.0
91.08,91.43,90.66,90.92,136782.8,91.41391308281553,91.92450000000001,92.43508691718449,91.00333333333333,0.4018786709733399,2,2,89.7534
90.93,91.78,90.85,91.35,115531.4,91.32726807721039,91.896,92.46473192278961,91.15138347346284,0.4773249631287572,0,0,0.0
91.35,91.42,90.83,91.15,71648.0,91.20244366170667,91.857,92.51155633829333,91.14739147550755,0.4934214679233903,0,0,0.0
91.15,91.25,90.31,90.41,68974.3,90.87590154548586,91.785,92.69409845451413,91.06125185706428,0.557218642129604,0,0,0.0
90.39,90.43,89.2,89.94,139170.1,90.4755241403161,91.682,92.88847585968391,90.74619799115442,0.6533305759548836,2,0,0.0
89.93,90.29,89.36,89.69,99459.0,90.09126914464933,91.5685,93.04573085535067,90.59404105606765,0.6928548891086364,2,0,0.0
89.66,89.98,89.5,89.91,66664.8,89.83853589110468,91.458,93.07746410889531,90.51791030582454,0.6624469754544446,0,0,0.0
89.9,90.19,89.79,89.94,57277.2,89.63192224986749,91.349,93.06607775013252,90.47662436221688,0.6249544739237117,0,0,0.0
89.95,90.12,89.81,90.09,44635.3,89.48260322699538,91.2505,93.01839677300462,90.45040816667456,0.5799608989938495,0,0,0.0
90.07,90.22,89.6,89.68,50729.1,89.28419670067578,91.127,92.96980329932421,90.41361808434955,0.5856807791368561,0,0,0.0
89.71,89.71,89.01,89.45,86968.6,89.06816511852355,90.997,92.92583488147645,90.31869509665786,0.6020121173781298,0,0,0.0
89.44,89.84,89.41,89.74,47298.6,88.93807276015765,90.8845,92.83092723984235,90.28722980332796,0.5774389307008191,0,0,0.0
89.74,89.97,89.69,89.93,33761.5,88.86290823994254,90.781,92.69909176005747,90.27318390006015,0.5349476147915184,0,0,0.0
89.94,90.08,89.72,89.81,45299.2,88.79286306697267,90.6725,92.55213693302733,90.25602179722063,0.5099550781787198,0,0,0.0
89.83,90.04,89.76,89.9,32147.7,88.73764235907421,90.5815,92.4253576409258,90.24558233264707,0.47710432995054874,0,0,0.0
89.91,90.02,89.75,89.93,30019.6,88.72507541425351,90.482,92.23892458574649,90.23637197620812,0.4475179795196161,0,0,0.0
89.91,90.42,89.91,90.42,65428.7,88.7682717814561,90.411,92.05372821854391,90.23712014448112,0.45644398699169564,0,0,0.0
90.41,90.57,90.36,90.57,48522.2,88.84234578443031,90.34599999999999,91.84965421556967,90.24740420703368,0.4212376877656854,0,0,0.0
90.57,90.67,90.42,90.46,43466.9,88.95335065288253,90.27250000000001,91.59164934711748,90.25652100182923,0.3967751517880421,0,0,0.0
90.46,90.62,90.39,90.42,32723.9,89.1846508605187,90.1855,91.18634913948131,90.26199306868847,0.37295012246225107,0,0,0.0
90.41,90.52,90.4,90.47,22252.4,89.21012855011787,90.163,91.11587144988212,90.26533967282542,0.3368143807473006,0,0,0.0
90.46,90.61,90.41,90.61,25670.4,89.31319251971917,90.126,90.93880748028084,90.27056984188607,0.3172694646062088,0,0,0.0
90.62,90.84,90.25,90.48,56246.6,89.40583050162363,90.0925,90.77916949837638,90.28057709475819,0.3562309775321411,0,0,0.0
90.48,90.6,90.4,90.43,21825.8,89.40492828986338,90.0935,90.78207171013663,90.28354402689972,0.3339122625920632,0,0,0.0
90.43,90.59,90.32,90.34,20961.9,89.42070060623548,90.1135,90.80629939376452,90.28545080400457,0.324781938009707,0,0,0.0
90.32,90.68,90.32,90.59,28938.6,89.46466212268248,90.1585,90.85233787731752,90.29019275626285,0.32981309036256107,0,0,0.0
90.59,90.83,90.53,90.82,27537.8,89.46352987906299,90.20400000000001,90.94447012093703,90.29810064227874,0.3255540769892761,0,0,0.0
90.82,90.98,90.75,90.9,33171.1,89.46331501852737,90.252,91.04068498147262,90.31045754436707,0.31190349328656725,0,0,0.0
90.9,91.02,90.88,90.97,27128.7,89.45211849172975,90.296,91.13988150827026,90.32155129532254,0.28734584942138375,0,0,0.0
90.95,91.07,90.9,91.03,29635.7,89.51157805521838,90.3635,91.21542194478162,90.33404062900257,0.2705821554959306,0,0,0.0
91.06,91.23,91.05,91.2,35785.9,89.6335674339736,90.451,91.26843256602639,90.3520015876471,0.2604989898316892,0,0,0.0
91.22,91.39,91.09,91.34,33269.5,89.69460535630571,90.531,91.3673946436943,90.37025856456994,0.2661419915689539,0,0,0.0
91.35,91.42,91.25,91.27,33952.9,89.75030665922132,90.598,91.44569334077867,90.38895223103556,0.25240742075097955,0,0,0.0
91.29,91.54,91.26,91.41,36164.7,89.84094325162476,90.678,91.51505674837523,90.40992634233803,0.2563492179326374,0,0,0.0
91.42,91.48,91.34,91.47,24583.8,89.93162970716571,90.75649999999999,91.58137029283427,90.42406526665272,0.23972790055712867,0,0,0.0
91.46,91.51,91.33,91.4,25183.2,90.05218254069447,90.83000000000001,91.60781745930555,90.43791488176763,0.2311953431023598,0,0,0.0
91.39,91.39,91.04,91.12,36500.2,90.10125920627446,90.865,91.62874079372553,90.45273951765274,0.24959600880288824,0,0,0.0
91.1,91.26,91.07,91.24,24563.8,90.1306907789037,90.8985,91.6663092210963,90.4624766515193,0.2410822930893109,0,0,0.0
91.24,91.43,91.19,91.33,25633.9,90.1799343860267,90.94200000000001,91.70406561397331,90.47408950643637,0.24092767978818816,0,0,0.0
91.32,91.44,91.26,91.42,23007.0,90.24237075830747,90.99199999999999,91.74162924169251,90.48492977657904,0.23222372540481057,0,0,0.0
91.41,91.43,91.16,91.17,19913.1,90.31363894134842,91.027,91.74036105865159,90.4928643399555,0.2376203361292506,0,0,0.0
91.16,91.37,91.16,91.31,20715.0,90.36541978207782,91.062,91.75858021792217,90.50122978523625,0.23367457378246784,0,0,0.0
91.31,91.52,91.29,91.4,28032.5,90.4508363978426,91.108,91.76516360215741,90.51401980649175,0.23314963466582686,0,0,0.0
91.4,91.48,91.32,91.45,15877.9,90.56493266374888,91.159,91.75306733625114,90.52121082293522,0.22269968677352495,0,0,0.0
91.44,91.52,91.38,91.42,18775.1,90.7431872713511,91.213,91.68281272864888,90.52978525705835,0.21088544572554496,0,0,0.0
91.4,91.48,91.33,91.43,15513.1,90.8736078133987,91.25500000000001,91.63639218660131,90.53654608920004,0.20218752485691632,0,0,0.0
91.43,91.64,91.35,91.62,27684.5,90.93742483307628,91.295,91.65257516692373,90.55001926683451,0.2147321642257415,0,0,0.0
91.62,91.68,91.51,91.6,26169.2,90.99779524386229,91.33000000000001,91.66220475613774,90.56317988716015,0.20834185502327224,0,0,0.0
91.63,91.72,91.57,91.62,22985.4,91.05099558590523,91.3625,91.67400441409477,90.57490627091761,0.20000730427507224,0,0,0.0
91.64,91.66,91.44,91.48,17928.7,91.10993637099659,91.385,91.66006362900342,90.58294721502908,0.20286340367333275,0,0,0.0
91.5,91.52,91.36,91.38,21665.8,91.13228259515171,91.394,91.6557174048483,90.59140675472253,0.19674006027491558,0,0,0.0
91.39,91.45,90.96,90.99,29944.7,91.06133179094248,91.3765,91.69166820905751,90.59887219212392,0.23863433747533233,0,0,0.0
