,price
2019-02-19,29.34000015258789
2019-02-20,29.020000457763672
2019-02-21,29.139999389648438
2019-02-22,29.010000228881836
2019-02-23,29.010000228881836
2019-02-24,29.010000228881836
2019-02-25,29.5
2019-02-26,28.110000610351562
2019-02-27,28.5
2019-02-28,28.6299991607666
2019-03-01,29.049999237060547
2019-03-02,29.049999237060547
2019-03-03,29.049999237060547
2019-03-04,29.110000610351562
2019-03-05,28.780000686645508
2019-03-06,29.290000915527344
2019-03-07,28.790000915527344
2019-03-08,28.280000686645508
2019-03-09,28.280000686645508
2019-03-10,28.280000686645508
2019-03-11,28.90999984741211
2019-03-12,28.489999771118164
2019-03-13,28.530000686645508
2019-03-14,27.100000381469727
2019-03-15,27.520000457763672
2019-03-16,27.520000457763672
2019-03-17,27.520000457763672
2019-03-18,27.299999237060547
2019-03-19,27.31999969482422
2019-03-20,27.06999969482422
2019-03-21,26.34000015258789
2019-03-22,26.559999465942383
2019-03-23,26.559999465942383
2019-03-24,26.559999465942383
2019-03-25,26.84000015258789
2019-03-26,27.209999084472656
2019-03-27,27.65999984741211
2019-03-28,27.600000381469727
2019-03-29,27.0
2019-03-30,27.0
2019-03-31,27.0
2019-04-01,27.469999313354492
2019-04-02,27.790000915527344
2019-04-03,27.579999923706055
2019-04-04,27.8700008392334
2019-04-05,29.0
2019-04-06,29.0
2019-04-07,29.0
2019-04-08,29.420000076293945
2019-04-09,28.889999389648438
2019-04-10,28.780000686645508
2019-04-11,30.780000686645508
2019-04-12,30.280000686645508
2019-04-13,30.280000686645508
2019-04-14,30.280000686645508
2019-04-15,29.950000762939453
2019-04-16,30.15999984741211
2019-04-17,30.100000381469727
2019-04-18,30.600000381469727
2019-04-19,30.600000381469727
2019-04-20,30.600000381469727
2019-04-21,30.600000381469727
2019-04-22,30.1299991607666
2019-04-23,29.059999465942383
2019-04-24,28.850000381469727
2019-04-25,30.299999237060547
2019-04-26,30.399999618530273
2019-04-27,30.399999618530273
2019-04-28,30.399999618530273
2019-04-29,31.540000915527344
2019-04-30,31.649999618530273
2019-05-01,30.899999618530273
2019-05-02,31.729999542236328
2019-05-03,29.450000762939453
2019-05-04,29.450000762939453
2019-05-05,29.450000762939453
2019-05-06,28.989999771118164
2019-05-07,28.8799991607666
2019-05-08,28.549999237060547
2019-05-09,28.799999237060547
2019-05-10,28.399999618530273
2019-05-11,28.399999618530273
2019-05-12,28.399999618530273
2019-05-13,28.049999237060547
2019-05-14,27.3799991607666
2019-05-15,27.700000762939453
2019-05-16,27.93000030517578
2019-05-17,27.65999984741211
2019-05-18,27.65999984741211
2019-05-19,27.65999984741211
2019-05-20,27.649999618530273
2019-05-21,27.43000030517578
2019-05-22,27.940000534057617
2019-05-23,27.18000030517578
2019-05-24,27.420000076293945
2019-05-25,27.420000076293945
2019-05-26,27.420000076293945
2019-05-27,27.420000076293945
2019-05-28,27.290000915527344
2019-05-29,27.739999771118164
2019-05-30,27.440000534057617
2019-05-31,27.170000076293945
2019-06-01,27.170000076293945
2019-06-02,27.170000076293945
2019-06-03,27.25
2019-06-04,27.559999465942383
2019-06-05,28.489999771118164
2019-06-06,28.06999969482422
2019-06-07,28.5
2019-06-08,28.5
2019-06-09,28.5
2019-06-10,28.520000457763672
2019-06-11,28.450000762939453
2019-06-12,29.0
2019-06-13,29.420000076293945
2019-06-14,29.350000381469727
2019-06-15,29.350000381469727
2019-06-16,29.350000381469727
2019-06-17,29.110000610351562
2019-06-18,29.649999618530273
2019-06-19,29.81999969482422
2019-06-20,30.6299991607666
2019-06-21,30.8799991607666
2019-06-22,30.8799991607666
2019-06-23,30.8799991607666
2019-06-24,30.6299991607666
2019-06-25,31.1200008392334
2019-06-26,30.020000457763672
2019-06-27,29.59000015258789
2019-06-28,29.979999542236328
2019-06-29,29.979999542236328
2019-06-30,29.979999542236328
2019-07-01,31.059999465942383
2019-07-02,30.729999542236328
2019-07-03,31.020000457763672
2019-07-04,31.020000457763672
2019-07-05,30.709999084472656
2019-07-06,30.709999084472656
2019-07-07,30.709999084472656
2019-07-08,31.25
2019-07-09,31.149999618530273
2019-07-10,31.8700008392334
2019-07-11,31.799999237060547
2019-07-12,31.719999313354492
2019-07-13,31.719999313354492
2019-07-14,31.719999313354492
2019-07-15,32.529998779296875
2019-07-16,32.439998626708984
2019-07-17,32.52000045776367
