,Open,High,Low,Close
2019-03-25,46.09162761283827,46.20474505769024,44.90991718747916,45.42496109008789
2019-03-26,46.12771968987966,46.42134315463299,44.423742158696456,44.955631256103516
2019-03-27,45.42735872848553,45.67043890213234,44.89787501685972,45.35997009277344
2019-03-28,45.47548965786685,45.62230139057586,45.13373198076167,45.420135498046875
2019-03-29,45.68728003091113,45.747448707608996,45.376807602603584,45.71615982055664
2019-03-30,45.68728003091113,45.747448707608996,45.376807602603584,45.71615982055664
2019-03-31,45.68728003091113,45.747448707608996,45.376807602603584,45.71615982055664
2019-04-01,46.12290645685442,46.13253183047726,45.33830813621398,46.02663803100586
2019-04-02,45.99053040397646,46.80160669069117,45.980905031235366,46.695709228515625
2019-04-03,46.51038972359839,47.29258256500431,46.48632078259321,47.01580810546875
2019-04-04,46.88103911362216,47.26130570941418,46.483927192761335,47.09764862060547
2019-04-05,47.280550069269914,47.436990847528044,47.1553981811444,47.41292190551758
2019-04-06,47.280550069269914,47.436990847528044,47.1553981811444,47.41292190551758
2019-04-07,47.280550069269914,47.436990847528044,47.1553981811444,47.41292190551758
2019-04-08,47.273326981802356,48.190297056470385,47.25407256395363,48.15901184082031
2019-04-09,48.211961508309585,48.82086825403525,47.949623273378926,48.01460647583008
2019-04-10,47.817243519205796,48.31303644336915,47.69690617955923,48.28415298461914
2019-04-11,48.33951681698765,48.37561655440968,47.75948988637607,47.882232666015625
2019-04-12,47.94240298637106,48.168637808381526,47.22278793146237,47.862979888916016
2019-04-13,47.94240298637106,48.168637808381526,47.22278793146237,47.862979888916016
2019-04-14,47.94240298637106,48.168637808381526,47.22278793146237,47.862979888916016
2019-04-15,47.7931860099468,48.09884393052025,47.65599965773498,47.949623107910156
2019-04-16,48.004984380893234,48.464670334883046,47.78837491540003,47.95444107055664
2019-04-17,48.024234801694014,48.94842857118929,47.80040906185082,48.88825988769531
2019-04-18,48.885852767246796,49.1337474594759,48.74145012446377,49.0639533996582
2019-04-19,48.885852767246796,49.1337474594759,48.74145012446377,49.0639533996582
2019-04-20,48.885852767246796,49.1337474594759,48.74145012446377,49.0639533996582
2019-04-21,48.885852767246796,49.1337474594759,48.74145012446377,49.0639533996582
2019-04-22,48.81605057669939,49.323874348241745,48.6981186498581,49.225196838378906
2019-04-23,49.201129686259314,50.0001714940692,49.07357238249762,49.93518829345703
2019-04-24,49.906307577460815,50.175862075141616,49.83169900559592,49.85817337036133
2019-04-25,49.77875103571295,50.002576754723314,49.36719566306192,49.405704498291016
2019-04-26,49.31425203419226,49.33832097680149,48.645176560591935,49.16984939575195
2019-04-27,49.31425203419226,49.33832097680149,48.645176560591935,49.16984939575195
2019-04-28,49.31425203419226,49.33832097680149,48.645176560591935,49.16984939575195
2019-04-29,49.19391774588852,49.571778868561424,49.06395499591504,49.24446105957031
2019-04-30,48.871404561973385,48.953233079546614,47.92074022041394,48.29619216918945
2019-05-01,50.512811739394635,51.819673714794234,50.3563709669278,50.66684341430664
2019-05-02,50.503182385913796,51.17947776183021,50.0916306710772,50.33711624145508
2019-05-03,50.75588734787224,50.98452757844436,50.59704116445833,50.962867736816406
2019-05-04,50.75588734787224,50.98452757844436,50.59704116445833,50.962867736816406
2019-05-05,50.75588734787224,50.98452757844436,50.59704116445833,50.962867736816406
2019-05-06,49.16744497343845,50.262515862999564,48.9773135294038,50.175872802734375
2019-05-07,49.550111370764974,49.92074881504494,48.334703328688555,48.823272705078125
2019-05-08,48.59222247629782,49.42014406621883,48.556122738762454,48.8328971862793
2019-05-09,48.231217487209655,48.5392808673888,47.33109629016333,48.30823516845703
2019-05-10,47.69698564795609,48.04247784005557,46.573539724540076,47.638999938964844
2019-05-11,47.69698564795609,48.04247784005557,46.573539724540076,47.638999938964844
2019-05-12,47.69698564795609,48.04247784005557,46.573539724540076,47.638999938964844
2019-05-13,45.35103537093668,45.77866752422706,44.176851514458534,44.87024688720703
2019-05-14,45.036951407222766,45.831818983247445,44.79534982725146,45.5805549621582
2019-05-15,45.00312209900095,46.327097571013674,44.94272171103352,46.12656784057617
2019-05-16,45.88255031106956,46.50104967662893,45.62403488829052,45.923622131347656
2019-05-17,45.16257604483204,46.12173449480352,45.12150422365142,45.66269302368164
2019-05-18,45.16257604483204,46.12173449480352,45.12150422365142,45.66269302368164
2019-05-19,45.16257604483204,46.12173449480352,45.12150422365142,45.66269302368164
2019-05-20,44.3387118899672,44.539241593533696,43.55592163964641,44.23482131958008
2019-05-21,44.74944008600103,45.421092110584844,44.62380624580238,45.08285140991211
2019-05-22,44.61413942435868,44.86782176822369,44.10436004848497,44.15992736816406
2019-05-23,43.43995581110716,43.61873858383408,42.959167439473916,43.406131744384766
2019-05-24,43.53660218751483,44.00530982327895,43.15487126443424,43.23943328857422
2019-05-25,43.53660218751483,44.00530982327895,43.15487126443424,43.23943328857422
2019-05-26,43.53660218751483,44.00530982327895,43.15487126443424,43.23943328857422
2019-05-27,43.53660218751483,44.00530982327895,43.15487126443424,43.23943328857422
2019-05-28,43.227351727443626,43.63082590010163,42.983335473047305,43.060646057128906
2019-05-29,42.62335032024404,43.331244866964816,42.521878098984445,42.855289459228516
2019-05-30,42.992986979536894,43.30223661030896,42.68373734876483,43.07754898071289
2019-05-31,42.57743897916539,43.0026600551194,42.277855424612696,42.297183990478516
2019-06-01,42.57743897916539,43.0026600551194,42.277855424612696,42.297183990478516
2019-06-02,42.57743897916539,43.0026600551194,42.277855424612696,42.297183990478516
2019-06-03,42.42523309255495,42.985746764124585,41.13749640572967,41.86954879760742
2019-06-04,42.386572838438674,43.447203403307604,42.16429987413993,43.40129852294922
2019-06-05,44.522339683180235,44.69387843020396,43.763710855543124,44.101951599121094
2019-06-06,44.23241207165557,44.80983962680432,44.00772071388628,44.74943923950195
2019-06-07,45.06110320076749,46.36816845472044,44.882320415389685,45.94053268432617
2019-06-08,45.06110320076749,46.36816845472044,44.882320415389685,45.94053268432617
2019-06-09,45.06110320076749,46.36816845472044,44.882320415389685,45.94053268432617
2019-06-10,46.34158801603341,47.20168885696085,46.29568313634121,46.52762222290039
2019-06-11,47.07847180438419,47.35389738662001,46.774055219769835,47.06639099121094
2019-06-12,46.85862120228936,47.346657379240234,46.723324920334,46.91660690307617
2019-06-13,47.03982205285396,47.54476841837253,46.77406255410337,46.90694046020508
2019-06-14,46.278781535833225,46.77164711724487,45.976779572908896,46.566287994384766
2019-06-15,46.278781535833225,46.77164711724487,45.976779572908896,46.566287994384766
2019-06-16,46.278781535833225,46.77164711724487,45.976779572908896,46.566287994384766
2019-06-17,46.60493698144104,47.10263926538516,46.428568884213746,46.84412384033203
2019-06-18,47.36598523120395,48.39037345714463,47.16304081133424,47.94582748413086
2019-06-19,48.24300431762443,48.29132758545955,47.67040972194618,47.80570602416992
2019-06-20,48.40970064413793,48.467686342396924,47.844353910664125,48.18984603881836
2019-06-21,48.03038772009916,48.52567162297556,47.87334450445459,48.02555465698242
2019-06-22,48.03038772009916,48.52567162297556,47.87334450445459,48.02555465698242
2019-06-23,48.03038772009916,48.52567162297556,47.87334450445459,48.02555465698242
2019-06-24,47.96756776072679,48.35896475936949,47.87817637130908,47.97723388671875
2019-06-25,47.94099986962416,48.141529623910834,47.18237105399084,47.250022888183594
2019-06-26,47.78153708898788,48.5594943344236,47.68006488565456,48.27198791503906
2019-06-27,48.39038143642377,48.69963486706555,48.216431681100154,48.257503509521484
2019-06-28,48.00138390845893,48.199498906589646,47.60757597311623,47.81776809692383
2019-06-29,48.00138390845893,48.199498906589646,47.60757597311623,47.81776809692383
2019-06-30,48.00138390845893,48.199498906589646,47.60757597311623,47.81776809692383
2019-07-01,49.08619088234746,49.4051067265501,48.477353889399865,48.69479751586914
2019-07-02,48.66097294691626,49.0765279409458,48.64889213114441,48.97988510131836
2019-07-03,49.112765573104305,49.39302427176247,48.97022153529529,49.38577651977539
2019-07-04,49.112765573104305,49.39302427176247,48.97022153529529,49.38577651977539
2019-07-05,49.1296782920701,49.54764795516115,49.020954641736424,49.34228515625
2019-07-06,49.1296782920701,49.54764795516115,49.020954641736424,49.34228515625
2019-07-07,49.1296782920701,49.54764795516115,49.020954641736424,49.34228515625
2019-07-08,48.5160055045899,48.6585495309073,47.93616327308525,48.32514190673828
2019-07-09,48.127022945886544,48.68512187766649,48.03279849878793,48.61989212036133
2019-07-10,48.76727367732864,49.22148207828489,48.697207164317405,49.10068130493164
