Local time,Open,High,Low,Close,Volume
11.10.2023 21:35:00.000 GMT+0200,12.476,12.476,12.476,12.476,0.012
11.10.2023 21:40:00.000 GMT+0200,12.476,12.487,12.456,12.456,0.24
11.10.2023 21:50:00.000 GMT+0200,12.446,12.457,12.436,12.447,0.06
11.10.2023 21:55:00.000 GMT+0200,12.457,12.467,12.456,12.467,0.036000000000000004
12.10.2023 15:30:00.000 GMT+0200,12.597,12.606,12.397,12.407,2.856
12.10.2023 15:35:00.000 GMT+0200,12.396,12.407,12.316,12.326,1.956
12.10.2023 15:40:00.000 GMT+0200,12.316,12.316,12.206,12.206,0.7440000000000001
12.10.2023 15:45:00.000 GMT+0200,12.197,12.236,12.187,12.196,0.6239999999999999
12.10.2023 15:50:00.000 GMT+0200,12.187,12.266,12.186,12.217,0.708
12.10.2023 15:55:00.000 GMT+0200,12.207,12.207,12.167,12.177,0.6240000000000001
12.10.2023 16:00:00.000 GMT+0200,12.186,12.207,12.156,12.207,0.348
12.10.2023 16:05:00.000 GMT+0200,12.197,12.207,12.176,12.186,0.468
12.10.2023 16:10:00.000 GMT+0200,12.176,12.217,12.157,12.217,0.756
12.10.2023 16:15:00.000 GMT+0200,12.207,12.207,12.096,12.096,0.45599999999999996
12.10.2023 16:20:00.000 GMT+0200,12.086,12.137,12.067,12.126,0.33599999999999997
12.10.2023 16:25:00.000 GMT+0200,12.127,12.176,12.126,12.147,0.468
12.10.2023 16:30:00.000 GMT+0200,12.146,12.177,12.136,12.156,0.396
12.10.2023 16:35:00.000 GMT+0200,12.147,12.147,12.106,12.116,0.3
12.10.2023 16:40:00.000 GMT+0200,12.126,12.126,12.066,12.077,0.20400000000000001
12.10.2023 16:45:00.000 GMT+0200,12.067,12.107,12.066,12.107,0.21600000000000003
12.10.2023 16:50:00.000 GMT+0200,12.097,12.117,12.096,12.096,0.12
12.10.2023 16:55:00.000 GMT+0200,12.097,12.127,12.097,12.117,0.132
12.10.2023 17:00:00.000 GMT+0200,12.127,12.147,12.126,12.146,0.204
12.10.2023 17:05:00.000 GMT+0200,12.137,12.177,12.126,12.177,0.24
12.10.2023 17:10:00.000 GMT+0200,12.167,12.167,12.146,12.166,0.192
12.10.2023 17:15:00.000 GMT+0200,12.177,12.187,12.156,12.157,0.24
12.10.2023 17:20:00.000 GMT+0200,12.146,12.177,12.146,12.166,0.216
12.10.2023 17:25:00.000 GMT+0200,12.176,12.187,12.146,12.176,0.20400000000000001
12.10.2023 17:30:00.000 GMT+0200,12.186,12.236,12.186,12.216,0.3
12.10.2023 17:35:00.000 GMT+0200,12.227,12.246,12.226,12.236,0.156
12.10.2023 17:40:00.000 GMT+0200,12.247,12.257,12.226,12.256,0.20400000000000001
12.10.2023 17:45:00.000 GMT+0200,12.247,12.247,12.187,12.196,0.288
12.10.2023 17:50:00.000 GMT+0200,12.186,12.207,12.177,12.207,0.036000000000000004
12.10.2023 17:55:00.000 GMT+0200,12.196,12.227,12.196,12.227,0.228
12.10.2023 18:00:00.000 GMT+0200,12.226,12.246,12.206,12.217,0.14400000000000002
12.10.2023 18:05:00.000 GMT+0200,12.206,12.226,12.206,12.226,0.07200000000000001
12.10.2023 18:10:00.000 GMT+0200,12.226,12.246,12.226,12.246,0.07200000000000001
12.10.2023 18:15:00.000 GMT+0200,12.257,12.257,12.246,12.246,0.18
12.10.2023 18:20:00.000 GMT+0200,12.236,12.257,12.236,12.247,0.096
12.10.2023 18:25:00.000 GMT+0200,12.237,12.257,12.226,12.257,0.192
12.10.2023 18:30:00.000 GMT+0200,12.247,12.267,12.246,12.257,0.12
12.10.2023 18:35:00.000 GMT+0200,12.246,12.257,12.236,12.247,0.156
12.10.2023 18:40:00.000 GMT+0200,12.237,12.237,12.216,12.216,0.072
12.10.2023 18:45:00.000 GMT+0200,12.207,12.217,12.197,12.197,0.048
12.10.2023 18:50:00.000 GMT+0200,12.187,12.187,12.156,12.177,0.144
12.10.2023 18:55:00.000 GMT+0200,12.166,12.166,12.146,12.166,0.11999999999999998
12.10.2023 19:00:00.000 GMT+0200,12.157,12.166,12.096,12.097,0.18
12.10.2023 19:05:00.000 GMT+0200,12.086,12.097,12.057,12.066,0.30000000000000004
12.10.2023 19:10:00.000 GMT+0200,12.066,12.077,12.066,12.066,0.168
12.10.2023 19:15:00.000 GMT+0200,12.057,12.077,12.056,12.077,0.072
12.10.2023 19:20:00.000 GMT+0200,12.067,12.067,12.037,12.037,0.132
12.10.2023 19:25:00.000 GMT+0200,12.036,12.047,12.026,12.026,0.168
12.10.2023 19:30:00.000 GMT+0200,12.017,12.056,12.016,12.026,0.168
12.10.2023 19:35:00.000 GMT+0200,12.016,12.017,11.996,11.997,0.18
12.10.2023 19:40:00.000 GMT+0200,11.987,11.987,11.937,11.937,0.132
12.10.2023 19:45:00.000 GMT+0200,11.947,11.947,11.926,11.936,0.18
12.10.2023 19:50:00.000 GMT+0200,11.926,11.947,11.926,11.936,0.156
12.10.2023 19:55:00.000 GMT+0200,11.937,11.956,11.926,11.926,0.12
12.10.2023 20:00:00.000 GMT+0200,11.937,11.967,11.936,11.947,0.22799999999999998
12.10.2023 20:05:00.000 GMT+0200,11.947,11.977,11.947,11.947,0.24
12.10.2023 20:10:00.000 GMT+0200,11.936,11.957,11.926,11.946,0.168
12.10.2023 20:15:00.000 GMT+0200,11.946,11.957,11.926,11.947,0.18
12.10.2023 20:20:00.000 GMT+0200,11.957,12.006,11.957,11.997,0.228
12.10.2023 20:25:00.000 GMT+0200,11.997,12.007,11.976,11.996,0.276
12.10.2023 20:30:00.000 GMT+0200,11.986,12.017,11.986,12.017,0.096
12.10.2023 20:35:00.000 GMT+0200,12.006,12.017,11.997,11.997,0.096
12.10.2023 20:40:00.000 GMT+0200,11.986,11.987,11.976,11.986,0.096
12.10.2023 20:45:00.000 GMT+0200,11.996,12.007,11.976,12.007,0.18
12.10.2023 20:50:00.000 GMT+0200,11.997,12.007,11.977,11.977,0.156
12.10.2023 20:55:00.000 GMT+0200,11.987,11.987,11.956,11.966,0.14400000000000002
12.10.2023 21:00:00.000 GMT+0200,11.976,11.997,11.976,11.996,0.15599999999999997
12.10.2023 21:05:00.000 GMT+0200,11.986,12.017,11.986,12.016,0.36
12.10.2023 21:10:00.000 GMT+0200,12.006,12.036,12.006,12.027,0.192
12.10.2023 21:15:00.000 GMT+0200,12.017,12.036,12.016,12.027,0.108
12.10.2023 21:20:00.000 GMT+0200,12.017,12.027,12.006,12.006,0.216
12.10.2023 21:25:00.000 GMT+0200,11.996,12.017,11.996,12.006,0.084
12.10.2023 21:30:00.000 GMT+0200,11.996,12.017,11.996,12.006,0.10799999999999998
12.10.2023 21:35:00.000 GMT+0200,12.017,12.026,12.017,12.026,0.036000000000000004
12.10.2023 21:40:00.000 GMT+0200,12.037,12.047,12.036,12.047,0.12
12.10.2023 21:45:00.000 GMT+0200,12.037,12.047,12.036,12.047,0.096
12.10.2023 21:50:00.000 GMT+0200,12.046,12.077,12.046,12.067,0.096
12.10.2023 21:55:00.000 GMT+0200,12.056,12.067,12.037,12.046,0.07200000000000001
13.10.2023 15:30:00.000 GMT+0200,11.866,11.956,11.807,11.896,1.644
13.10.2023 15:35:00.000 GMT+0200,11.887,11.986,11.866,11.986,1.056
13.10.2023 15:40:00.000 GMT+0200,11.987,12.026,11.916,11.917,0.804
13.10.2023 15:45:00.000 GMT+0200,11.906,11.907,11.856,11.877,0.39599999999999996
13.10.2023 15:50:00.000 GMT+0200,11.887,11.947,11.876,11.946,0.16799999999999998
13.10.2023 15:55:00.000 GMT+0200,11.946,11.977,11.917,11.927,0.36
13.10.2023 16:00:00.000 GMT+0200,11.917,11.926,11.866,11.886,0.4679999999999999
13.10.2023 16:05:00.000 GMT+0200,11.896,11.926,11.876,11.926,0.264
13.10.2023 16:10:00.000 GMT+0200,11.917,11.917,11.886,11.887,0.252
13.10.2023 16:15:00.000 GMT+0200,11.897,11.897,11.866,11.866,0.07200000000000001
13.10.2023 16:20:00.000 GMT+0200,11.877,11.877,11.856,11.857,0.08399999999999999
13.10.2023 16:30:00.000 GMT+0200,11.847,11.857,11.846,11.857,0.132
13.10.2023 16:35:00.000 GMT+0200,11.847,11.847,11.777,11.787,0.20400000000000001
13.10.2023 16:40:00.000 GMT+0200,11.777,11.777,11.746,11.757,0.10799999999999998
13.10.2023 16:45:00.000 GMT+0200,11.746,11.746,11.726,11.736,0.168
13.10.2023 16:50:00.000 GMT+0200,11.727,11.727,11.697,11.717,0.108
13.10.2023 16:55:00.000 GMT+0200,11.727,11.746,11.727,11.746,0.084
13.10.2023 17:00:00.000 GMT+0200,11.747,11.766,11.726,11.756,0.168
13.10.2023 17:05:00.000 GMT+0200,11.746,11.757,11.726,11.747,0.22799999999999998
13.10.2023 17:10:00.000 GMT+0200,11.756,11.777,11.746,11.777,0.276
13.10.2023 17:15:00.000 GMT+0200,11.767,11.807,11.766,11.787,0.288
13.10.2023 17:20:00.000 GMT+0200,11.796,11.806,11.776,11.776,0.096
13.10.2023 17:25:00.000 GMT+0200,11.777,11.796,11.756,11.776,0.24000000000000005
13.10.2023 17:30:00.000 GMT+0200,11.766,11.787,11.766,11.787,0.060000000000000005
13.10.2023 17:35:00.000 GMT+0200,11.786,11.846,11.786,11.846,0.18000000000000002
13.10.2023 17:40:00.000 GMT+0200,11.857,11.857,11.816,11.817,0.27599999999999997
13.10.2023 17:45:00.000 GMT+0200,11.827,11.827,11.786,11.787,0.28800000000000003
13.10.2023 17:50:00.000 GMT+0200,11.776,11.787,11.756,11.756,0.15599999999999997
13.10.2023 17:55:00.000 GMT+0200,11.757,11.776,11.746,11.767,0.168
13.10.2023 18:00:00.000 GMT+0200,11.767,11.807,11.767,11.797,0.108
13.10.2023 18:05:00.000 GMT+0200,11.807,11.817,11.786,11.817,0.22799999999999998
13.10.2023 18:10:00.000 GMT+0200,11.806,11.827,11.806,11.807,0.24000000000000002
13.10.2023 18:15:00.000 GMT+0200,11.806,11.846,11.806,11.846,0.20400000000000001
13.10.2023 18:20:00.000 GMT+0200,11.847,11.857,11.836,11.846,0.24
13.10.2023 18:25:00.000 GMT+0200,11.857,11.867,11.856,11.867,0.108
13.10.2023 18:30:00.000 GMT+0200,11.857,11.867,11.836,11.836,0.072
13.10.2023 18:35:00.000 GMT+0200,11.827,11.837,11.817,11.836,0.156
13.10.2023 18:40:00.000 GMT+0200,11.826,11.826,11.777,11.777,0.18
13.10.2023 18:45:00.000 GMT+0200,11.767,11.767,11.756,11.756,0.024
13.10.2023 18:50:00.000 GMT+0200,11.747,11.776,11.736,11.766,0.324
13.10.2023 18:55:00.000 GMT+0200,11.777,11.777,11.756,11.757,0.168
13.10.2023 19:00:00.000 GMT+0200,11.767,11.787,11.766,11.777,0.10800000000000001
13.10.2023 19:05:00.000 GMT+0200,11.786,11.786,11.746,11.757,0.348
13.10.2023 19:10:00.000 GMT+0200,11.747,11.757,11.717,11.717,0.132
13.10.2023 19:15:00.000 GMT+0200,11.707,11.716,11.706,11.716,0.048
13.10.2023 19:20:00.000 GMT+0200,11.726,11.727,11.706,11.706,0.156
13.10.2023 19:25:00.000 GMT+0200,11.696,11.696,11.676,11.686,0.156
13.10.2023 19:30:00.000 GMT+0200,11.677,11.707,11.676,11.707,0.08399999999999999
13.10.2023 19:35:00.000 GMT+0200,11.707,11.717,11.696,11.706,0.16799999999999998
13.10.2023 19:40:00.000 GMT+0200,11.697,11.757,11.697,11.757,0.504
13.10.2023 19:45:00.000 GMT+0200,11.746,11.757,11.736,11.747,0.192
13.10.2023 19:50:00.000 GMT+0200,11.756,11.766,11.746,11.756,0.156
13.10.2023 19:55:00.000 GMT+0200,11.746,11.756,11.737,11.737,0.072
13.10.2023 20:00:00.000 GMT+0200,11.746,11.756,11.736,11.736,0.06
13.10.2023 20:05:00.000 GMT+0200,11.737,11.787,11.737,11.766,0.264
13.10.2023 20:10:00.000 GMT+0200,11.756,11.766,11.756,11.756,0.12
13.10.2023 20:15:00.000 GMT+0200,11.746,11.747,11.736,11.736,0.10799999999999998
13.10.2023 20:20:00.000 GMT+0200,11.747,11.757,11.726,11.726,0.07200000000000001
13.10.2023 20:25:00.000 GMT+0200,11.737,11.746,11.726,11.746,0.084
13.10.2023 20:30:00.000 GMT+0200,11.736,11.767,11.736,11.757,0.21600000000000003
13.10.2023 20:35:00.000 GMT+0200,11.747,11.747,11.727,11.737,0.07200000000000001
13.10.2023 20:40:00.000 GMT+0200,11.727,11.727,11.707,11.707,0.09599999999999999
13.10.2023 20:45:00.000 GMT+0200,11.697,11.716,11.696,11.696,0.09599999999999999
13.10.2023 20:50:00.000 GMT+0200,11.707,11.726,11.706,11.726,0.072
13.10.2023 20:55:00.000 GMT+0200,11.717,11.726,11.706,11.726,0.12
13.10.2023 21:00:00.000 GMT+0200,11.716,11.746,11.716,11.737,0.132
13.10.2023 21:05:00.000 GMT+0200,11.726,11.737,11.707,11.737,0.204
13.10.2023 21:10:00.000 GMT+0200,11.736,11.766,11.736,11.756,0.12
13.10.2023 21:15:00.000 GMT+0200,11.747,11.767,11.736,11.746,0.216
13.10.2023 21:20:00.000 GMT+0200,11.746,11.757,11.746,11.747,0.144
13.10.2023 21:25:00.000 GMT+0200,11.736,11.736,11.727,11.727,0.024
13.10.2023 21:30:00.000 GMT+0200,11.737,11.737,11.726,11.726,0.096
13.10.2023 21:35:00.000 GMT+0200,11.736,11.736,11.716,11.717,0.08399999999999999
13.10.2023 21:40:00.000 GMT+0200,11.707,11.707,11.696,11.696,0.024
13.10.2023 21:45:00.000 GMT+0200,11.707,11.747,11.696,11.726,0.12000000000000001
13.10.2023 21:50:00.000 GMT+0200,11.717,11.747,11.716,11.736,0.12
13.10.2023 21:55:00.000 GMT+0200,11.727,11.727,11.706,11.717,0.12
16.10.2023 15:30:00.000 GMT+0200,11.796,11.886,11.776,11.857,1.464
16.10.2023 15:35:00.000 GMT+0200,11.847,11.847,11.776,11.776,0.684
16.10.2023 15:40:00.000 GMT+0200,11.767,11.787,11.716,11.787,0.468
16.10.2023 15:45:00.000 GMT+0200,11.776,11.797,11.756,11.787,0.552
16.10.2023 15:50:00.000 GMT+0200,11.797,11.827,11.796,11.816,0.36
16.10.2023 15:55:00.000 GMT+0200,11.807,11.817,11.736,11.736,0.43199999999999994
16.10.2023 16:00:00.000 GMT+0200,11.747,11.756,11.716,11.726,0.396
16.10.2023 16:05:00.000 GMT+0200,11.717,11.756,11.716,11.756,0.46799999999999997
16.10.2023 16:10:00.000 GMT+0200,11.757,11.806,11.757,11.786,0.288
16.10.2023 16:15:00.000 GMT+0200,11.787,11.797,11.786,11.787,0.11999999999999998
16.10.2023 16:20:00.000 GMT+0200,11.787,11.836,11.786,11.827,0.3
16.10.2023 16:25:00.000 GMT+0200,11.817,11.867,11.806,11.857,0.264
16.10.2023 16:30:00.000 GMT+0200,11.867,11.887,11.856,11.876,0.156
16.10.2023 16:35:00.000 GMT+0200,11.876,11.886,11.846,11.846,0.192
16.10.2023 16:40:00.000 GMT+0200,11.856,11.876,11.846,11.876,0.20400000000000001
16.10.2023 16:45:00.000 GMT+0200,11.886,11.887,11.876,11.887,0.048
16.10.2023 16:50:00.000 GMT+0200,11.887,11.906,11.866,11.876,0.168
16.10.2023 16:55:00.000 GMT+0200,11.877,11.897,11.876,11.897,0.16799999999999998
16.10.2023 17:00:00.000 GMT+0200,11.906,11.916,11.896,11.906,0.288
16.10.2023 17:05:00.000 GMT+0200,11.906,11.936,11.906,11.927,0.19199999999999998
16.10.2023 17:10:00.000 GMT+0200,11.917,11.926,11.906,11.916,0.28800000000000003
16.10.2023 17:15:00.000 GMT+0200,11.906,11.906,11.897,11.897,0.024
16.10.2023 17:20:00.000 GMT+0200,11.886,11.897,11.876,11.897,0.18
16.10.2023 17:25:00.000 GMT+0200,11.906,11.906,11.896,11.896,0.024
16.10.2023 17:30:00.000 GMT+0200,11.897,11.916,11.866,11.867,0.19199999999999998
16.10.2023 17:35:00.000 GMT+0200,11.877,11.877,11.836,11.836,0.15600000000000003
16.10.2023 17:40:00.000 GMT+0200,11.847,11.847,11.847,11.847,0.012
16.10.2023 17:45:00.000 GMT+0200,11.856,11.877,11.846,11.877,0.168
16.10.2023 17:50:00.000 GMT+0200,11.887,11.897,11.876,11.896,0.204
16.10.2023 17:55:00.000 GMT+0200,11.897,11.946,11.897,11.946,0.12
